iteration,w,b,cost
562,0.912634,0.187052,0.0286852
563,0.917587,0.196958,0.0284033
564,0.922368,0.206521,0.0282805
565,0.922368,0.200784,0.028291
566,0.922368,0.195207,0.0283328
567,0.92714,0.204752,0.0282215
568,0.92714,0.199064,0.0282283
569,0.923635,0.195558,0.0283069
570,0.920324,0.192247,0.0284084
571,0.920324,0.186907,0.0284988
572,0.925226,0.196711,0.0282707
573,0.929957,0.206174,0.0281967
574,0.926176,0.202393,0.0282326
575,0.930822,0.211685,0.028231
576,0.926863,0.207726,0.0282336
577,0.923125,0.203988,0.0282709
578,0.923125,0.198321,0.0282933
579,0.927849,0.207769,0.0282242
580,0.932408,0.216889,0.0282934
581,0.932408,0.210864,0.0282126
582,0.932408,0.205007,0.0281688
583,0.928591,0.20119,0.0282034
584,0.928591,0.195601,0.0282256
585,0.933315,0.205048,0.028161
586,0.929472,0.201205,0.0281926
587,0.934111,0.210484,0.0281987
588,0.93859,0.219442,0.0283356
589,0.942913,0.228088,0.0285898
590,0.938163,0.223338,0.028428
591,0.942435,0.231882,0.0287176
592,0.942435,0.22544,0.0285037
593,0.946648,0.233867,0.0288361
594,0.946648,0.22737,0.0285939
595,0.941814,0.222537,0.0284184
596,0.937249,0.217971,0.0283045
597,0.941602,0.226677,0.0285366
598,0.941602,0.22038,0.0283625
599,0.945891,0.228959,0.0286426
600,0.941034,0.224102,0.0284582
601,0.941034,0.217877,0.0283036
602,0.945362,0.226532,0.0285562
603,0.945362,0.22024,0.0283712
604,0.949627,0.22877,0.0286706
605,0.944671,0.223814,0.0284675
606,0.944671,0.217597,0.0283035
607,0.944671,0.211553,0.0281812
608,0.949062,0.220334,0.0283916
609,0.944356,0.215628,0.0282592
610,0.948692,0.2243,0.0285085
611,0.943887,0.219495,0.028347
612,0.943887,0.213398,0.0282145
613,0.948257,0.222138,0.028439
614,0.943524,0.217405,0.0282967
615,0.943524,0.211366,0.0281791
616,0.939222,0.207064,0.0281357
617,0.939222,0.201312,0.0280947
618,0.935318,0.197408,0.0281277
619,0.931631,0.193721,0.0281927
620,0.928149,0.190239,0.0282843
621,0.928149,0.184955,0.0283635
622,0.925007,0.181813,0.0284962
623,0.92204,0.178846,0.0286434
624,0.919238,0.176044,0.028802
625,0.916591,0.173397,0.0289691
626,0.914091,0.170897,0.0291426
627,0.91173,0.168536,0.0293202
628,0.916947,0.17897,0.0287796
629,0.916947,0.173998,0.0289372
630,0.914421,0.171472,0.0291095
631,0.914421,0.166709,0.0293018
632,0.914421,0.162078,0.0295104
633,0.914421,0.157576,0.0297339
634,0.919771,0.168276,0.0290555
635,0.924935,0.178605,0.0285749
636,0.929921,0.188575,0.0282733
637,0.926629,0.185284,0.0283896
638,0.926629,0.180137,0.0284959
639,0.923663,0.177171,0.028646
640,0.923663,0.17225,0.0287943
641,0.920999,0.169586,0.028967
642,0.918483,0.167069,0.0291458
643,0.916106,0.164693,0.0293288
644,0.916106,0.160118,0.0295402
645,0.92141,0.170724,0.0289133
646,0.92141,0.165982,0.0290917
647,0.918982,0.163555,0.0292762
648,0.924217,0.174026,0.0287225
649,0.929271,0.184133,0.0283548
650,0.926121,0.180983,0.0284885
651,0.926121,0.175956,0.0286149
652,0.931135,0.185983,0.0282872
653,0.935974,0.195662,0.0281239
654,0.932318,0.192005,0.0281957
655,0.937065,0.201501,0.0281135
656,0.941648,0.210667,0.0281714
657,0.941648,0.204815,0.0281018
658,0.93758,0.200746,0.0281066
659,0.933737,0.196904,0.0281479
660,0.930109,0.193275,0.0282196
661,0.926681,0.189848,0.0283166
662,0.926681,0.184574,0.0284016
663,0.931571,0.194354,0.0281893
664,0.931571,0.188956,0.0282391
665,0.936367,0.198546,0.0281152
666,0.936367,0.193031,0.0281301
667,0.936367,0.187669,0.0281737
668,0.932921,0.184224,0.0282805
669,0.929667,0.18097,0.0284076
670,0.929667,0.175943,0.0285252
671,0.926734,0.173009,0.0286839
672,0.923963,0.170238,0.0288529
673,0.923963,0.16551,0.0290269
674,0.929137,0.175857,0.0285406
675,0.92622,0.17294,0.0287001
676,0.931275,0.18305,0.028333
677,0.936154,0.192809,0.0281342
678,0.936154,0.187453,0.0281795
679,0.932721,0.18402,0.0282876
680,0.929478,0.180777,0.0284159
681,0.934401,0.190624,0.0281755
682,0.939154,0.200128,0.0280909
683,0.935285,0.196259,0.0281306
684,0.935285,0.190808,0.0281605
685,0.935285,0.185508,0.0282181
686,0.935285,0.180355,0.0283011
687,0.940174,0.190132,0.0280968
688,0.944893,0.199571,0.0280452
689,0.944893,0.194027,0.0280309
690,0.941034,0.190168,0.0280854
691,0.945747,0.199594,0.0280399
692,0.950296,0.208692,0.0281311
693,0.950296,0.202895,0.0280484
694,0.946041,0.19864,0.0280329
695,0.950601,0.20776,0.0281155
696,0.946202,0.203361,0.0280669
697,0.942047,0.199207,0.028064
698,0.942047,0.193673,0.0280596
699,0.946704,0.202987,0.0280613
700,0.942546,0.198829,0.0280588
701,0.947128,0.207993,0.0281216
702,0.951551,0.216838,0.02831
703,0.946874,0.212161,0.0281922
704,0.942456,0.207743,0.0281294
705,0.938284,0.203571,0.0281135
706,0.934343,0.199631,0.028137
707,0.930622,0.195909,0.0281937
708,0.927107,0.192395,0.028278
709,0.927107,0.18705,0.0283496
710,0.93196,0.196756,0.0281713
711,0.928384,0.19318,0.0282484
